"","RDA1","RDA2"
"A1",0.0227707073128374,-0.0555503200647071
"A2",7.83662641220551e-06,-0.091904909076088
"A3",0.0546924819695876,-0.0505921780896122
"A4",0.0399810667849612,-0.0709963069347497
"A5",0.00779326463930627,-0.0377547440086608
"A6",-0.00986950203627028,-0.0670785518445221
"A7",-0.0591231472560727,-0.1142394982487
"A8",-0.100341861552557,-0.0992886609738305
"A9",-0.0321855450455905,-0.147177035070275
"B1",0.0272476935172641,0.0242398849623596
"B2",0.131875865266218,0.0198595845145809
"B3",0.156717826040456,0.0688502300057778
"B4",0.172786176456528,0.042451004088702
"B5",0.181258983700377,0.0357006964102073
"B6",0.13399684153603,0.059800000469225
"B7",0.247041497137417,0.00530243836146637
"B8",0.230052533455473,0.0192505956997434
"B9",0.163389878232799,0.0310945677435858
"C1",-0.116222294792242,0.0223004454106229
"C2",-0.22105062771009,0.0577986334756881
"C3",-0.210235970761474,0.0213440811012451
"C4",-0.20083904263523,0.0553144293959946
"C5",-0.0676377401428862,-0.0052970418515823
"C6",-0.214705257885932,0.0487522757769977
"C7",-0.0772716325554448,0.0350661594248526
"C8",-0.175523676726373,0.105180669581783
"C9",-0.0846063535755025,0.0875735497398955
