"","Group1","Group2","Group3"
"num.edges(L)","181","919","81"
"num.pos.edges","161","823","54"
"num.neg.edges","20","96","27"
"num.vertices(n)","214","483","140"
"Connectance(edge_density)","0.00794173138519591","0.00789498552442807","0.00832476875642343"
"average.degree(Average K)","1.69158878504673","3.80538302277433","1.15714285714286"
"average.path.length","2.03304233305018","5.60215119191569","1.34000439231397"
"diameter","5.97490964775987","18.8551408700272","3.98079156293028"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.496507936507937","0.439044951089924","0.425925925925926"
"no.clusters","75","90","62"
"centralization.degree","0.0249221183800623","0.0315241016125014","0.0132579650565262"
"centralization.betweenness","0.00239538232336906","0.02181964890925","0.00112740586386068"
"centralization.closeness","0.383914330427533","0.979272991790554","0.138896935064297"
"RM(relative.modularity)","0.247366922857954","0.616296346454592","0.105912818299525"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
