"","KO","Means","SD"
"num.edges",2052,2052,0
"num.pos.edges",1107,0,0
"num.neg.edges",945,0,0
"num.vertices",200,200,0
"connectance",0.103115577889447,0.103115577889447,0
"average.degree",20.52,20.52,0
"average.path.length",2.49260732232573,2.00466633165829,0.00241704664537874
"diameter",5.2,3,0
"edge.connectivity",2,9.62,1.37642488154837
"clustering.coefficient",0.615033182648841,0.102586349542934,0.00267468093335694
"no.clusters",1,1,0
"centralization.degree",0.168241206030151,0.0631658291457286,0.00987345124725683
"centralization.betweenness",0.0297641157419165,0.00796558791465769,0.00172844998600741
"centralization.closeness",0.173792366898124,0.0807540412580111,0.00803077120837694
